,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,mixednormal,mixednormal,mixednormal,mixednormal,mixednormal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,2,2,2,2,2
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,10588.787,13324.807,19066.591,18158.893,15287.775
NumberParameters,6456263.0,6456263.0,6456263.0,6456263.0,6456263.0
t_training_avg,7.1291397,7.0543771,7.2019377,7.7867347,7.7104027
t_training_med,7.093007,7.0903428,7.0998919,7.7252405,7.7116966
t_training_std,0.2078469,0.069542,0.2757206,0.1201364,0.0277631
MSEValidation,4e-07,8e-07,4e-07,2e-07,9e-07
RMSEValidation,0.000648,0.0009003,0.0006613,0.0004343,0.0009322
EnergyScoreValidation,0.0043516,0.0038571,0.0029025,0.0032367,0.0037968
CRPSValidation,0.0001602,0.0001244,9.83e-05,0.0001081,0.0001244
Gaussian NLLValidation,-6.7220836,-6.9556527,-7.1729469,-7.1822653,-6.9640675
CoverageValidation,0.9996268,0.9995356,0.9996138,0.9996355,0.9997787
QICEValidation,0.1051649,0.1131953,0.1162951,0.1002474,0.1093889
MSETest,5e-07,4e-07,1.5e-06,3e-07,9e-07
RMSETest,0.0007174,0.0006425,0.0012125,0.0005344,0.0009232
EnergyScoreTest,0.0043148,0.003887,0.0034363,0.0034176,0.0040345
CRPSTest,0.0001506,0.000133,0.0001063,0.000114,0.0001285
Gaussian NLLTest,-6.7355833,-6.9247851,-7.1690984,-7.1797152,-6.9525933
CoverageTest,0.999625,0.999625,0.9994962,0.9995118,0.9995664
QICETest,0.1055398,0.1119648,0.1155625,0.1004125,0.1085781
