,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,mvnormal,mvnormal,mvnormal,mvnormal,mvnormal
loss,kernel,kernel,kernel,kernel,kernel
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,10,10,10,10,10
gamma,5,5,5,5,5
rank,1,1,1,1,1
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,20154.978,15575.011,20183.193,16658.099,15512.359
NumberParameters,6455684.0,6455684.0,6455684.0,6455684.0,6455684.0
t_training_avg,8.0395373,7.7100928,7.7262796,7.8330259,7.903809
t_training_med,7.7384434,7.7149734,7.7205571,7.7197484,7.7207083
t_training_std,0.4817866,0.0470553,0.1343674,0.4101297,0.484795
MSEValidation,2e-07,4e-07,2e-07,2e-07,2e-07
RMSEValidation,0.0004468,0.0006392,0.000499,0.0004315,0.0004588
EnergyScoreValidation,0.0059079,0.0064994,0.0059515,0.0062067,0.0060265
CRPSValidation,0.0002251,0.0002558,0.0002304,0.000244,0.0002335
Gaussian NLLValidation,-6.1406331,-6.1162086,-6.0901771,-6.0530066,-6.0986366
CoverageValidation,0.9976432,0.9966233,0.9980339,0.9973915,0.9969835
QICEValidation,0.0997049,0.0996189,0.100138,0.10523,0.0967023
MSETest,3e-07,5e-07,1e-06,3e-07,5e-07
RMSETest,0.0005298,0.0007316,0.0010234,0.0005295,0.0006757
EnergyScoreTest,0.0058749,0.0067605,0.0063964,0.0063664,0.0063732
CRPSTest,0.0002183,0.0002704,0.0002368,0.0002494,0.0002388
Gaussian NLLTest,-6.1491027,-6.0846615,-6.1196809,-6.0528035,-6.1143603
CoverageTest,0.9981094,0.9964414,0.9978712,0.997668,0.9965313
QICETest,0.1004398,0.0999133,0.1008906,0.1045391,0.0951617
