,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,normal,normal,normal,normal,normal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,15787.422,12899.834,22452.513,12040.39,14297.356
NumberParameters,6455491.0,6455491.0,6455491.0,6455491.0,6455491.0
t_training_avg,6.9571603,6.779755,6.7883276,6.7632155,6.7768209
t_training_med,6.8902802,6.7832211,6.776286,6.7602801,6.7700448
t_training_std,0.2739258,0.0693114,0.0744629,0.0804082,0.0780679
MSEValidation,2e-07,7e-07,5e-07,3e-07,5e-07
RMSEValidation,0.0004547,0.000841,0.0007383,0.0005906,0.0007314
EnergyScoreValidation,0.0031347,0.0038827,0.0030029,0.0038765,0.0033213
CRPSValidation,0.0001133,0.0001273,0.0001004,0.0001274,0.0001106
Gaussian NLLValidation,-7.0939021,-7.0466194,-7.2411003,-7.0677228,-7.1883035
CoverageValidation,0.9995009,0.9994662,0.9995269,0.9996485,0.9997396
QICEValidation,0.1088646,0.103816,0.1146693,0.1017691,0.1057708
MSETest,3e-07,4e-07,1.5e-06,5e-07,8e-07
RMSETest,0.0005465,0.0006624,0.0012294,0.0006967,0.000904
EnergyScoreTest,0.0031034,0.0039996,0.0035251,0.0040631,0.0036627
CRPSTest,0.0001067,0.000139,0.0001075,0.0001339,0.0001142
Gaussian NLLTest,-7.1122909,-7.0119042,-7.2429729,-7.0616736,-7.1785827
CoverageTest,0.999711,0.9994493,0.9995313,0.9995704,0.9995548
QICETest,0.1094867,0.1031453,0.1149976,0.1032414,0.1058008
