,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,sample,sample,sample,sample,sample
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,3,3,3,3,3
metrics_plots,False,False,False,False,False
t_training,20458.386,20177.692,10265.788,23007.723,13176.926
NumberParameters,6455297.0,6455297.0,6455297.0,6455297.0,6455297.0
t_training_avg,10.8918432,10.72104,10.6965879,10.574242,10.5441445
t_training_med,10.8000405,10.7263787,10.7253549,10.5588582,10.5541437
t_training_std,0.2873018,0.0650742,0.0960349,0.1144137,0.0656195
MSEValidation,4e-07,5e-07,1.1e-06,1e-07,5e-07
RMSEValidation,0.0006505,0.0007319,0.0010478,0.0003792,0.0006751
EnergyScoreValidation,0.002951,0.0028629,0.00465,0.0027066,0.0035722
CRPSValidation,0.0001259,0.0001102,0.0001701,0.0001102,0.0001442
Gaussian NLLValidation,-7.0646405,-7.1592207,-6.9006495,-7.1045914,-6.8298473
CoverageValidation,0.9904601,0.9915582,0.981862,0.9912283,0.9923872
QICEValidation,0.089855,0.0894644,0.0687882,0.0932161,0.0920825
MSETest,3e-07,4e-07,2.7e-06,2e-07,7e-07
RMSETest,0.000521,0.0006027,0.001644,0.0004626,0.000807
EnergyScoreTest,0.0028504,0.0029778,0.0052908,0.0028807,0.0039332
CRPSTest,0.0001141,0.0001198,0.0001831,0.0001168,0.0001511
Gaussian NLLTest,-7.0758162,-7.1303782,-6.9069138,-7.0970364,-6.8144765
CoverageTest,0.9914258,0.9904922,0.9828516,0.9898555,0.9920235
QICETest,0.0919023,0.0887437,0.0661102,0.0940141,0.090775
