,deterministic,deterministic,iDDPM,iDDPM,mixednormal,mixednormal,mvnormal,mvnormal,normal,normal,sample,sample
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
t_training,6.489292144775391,0.1167525202035904,6.486817836761475,0.09816986322402954,10.457051277160645,0.1066480427980423,7.230120658874512,0.5052435994148254,7.53995943069458,0.28169113397598267,10.428434371948242,0.11285529285669327
t_training_med,6.47575569152832,0.03756764158606529,6.470668315887451,0.0068418406881392,10.491548538208008,0.009776584804058075,7.200466156005859,0.4986254572868347,7.567680835723877,0.1770135462284088,10.438057899475098,0.008810813538730145
RMSETest,0.5639060139656067,0.060516174882650375,0.49704599380493164,0.06097826361656189,0.35280200839042664,0.03592577949166298,0.4880160093307495,0.010441889986395836,0.3903380036354065,0.0643858015537262,0.5850160121917725,0.0693361833691597
EnergyScoreTest,5.9279279708862305,0.6243587732315063,5.140120029449463,0.5376786589622498,4.914956092834473,0.5448780655860901,7.677365779876709,0.07751889526844025,5.23143196105957,0.7497280240058899,7.335546016693115,1.5064878463745117
CRPSTest,0.23809200525283813,0.024658864364027977,0.20390799641609192,0.019781939685344696,0.19612599909305573,0.02119370922446251,0.33590200543403625,0.006109549198299646,0.21023400127887726,0.02919374220073223,0.34396398067474365,0.08225604891777039
Gaussian NLLTest,-3.9881742000579834,0.17019113898277283,-4.223416805267334,0.0984085351228714,-4.080702781677246,0.09318351000547409,-3.5870399475097656,0.023521453142166138,-4.040222644805908,0.13758909702301025,-3.529965877532959,0.2837039530277252
C95Test,0.0012000000569969416,0.0026832816656678915,0.000800000037997961,0.0008366600377485156,0.9760000705718994,0.004847672767937183,0.36879998445510864,0.06087445840239525,0.9648000001907349,0.004764461424201727,0.26440000534057617,0.1988687962293625
C90Test,0.00020000000949949026,0.0004472136206459254,0.0,0.0,0.9344000816345215,0.011631893925368786,0.20000000298023224,0.040527764707803726,0.91920006275177,0.00819761399179697,0.1711999922990799,0.16979604959487915
C75Test,0.0,0.0,0.0,0.0,0.6306000351905823,0.04352925717830658,0.03660000115633011,0.010114346630871296,0.5662000179290771,0.05193937569856644,0.052000001072883606,0.07571327686309814
C50Test,0.0,0.0,0.0,0.0,0.02280000038444996,0.010663020424544811,0.0006000000284984708,0.0008944272412918508,0.013399999588727951,0.008734987117350101,0.002400000113993883,0.004827007185667753
