,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,deterministic,deterministic,deterministic,deterministic,deterministic
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,12504.113,15591.99,15037.147,16411.682,15030.539
NumberParameters,6455105.0,6455105.0,6455105.0,6455105.0,6455105.0
t_training_avg,6.5992526,6.4624719,6.4589065,6.4648753,6.4609535
t_training_med,6.542798,6.4553041,6.4594584,6.4626008,6.4586179
t_training_std,0.2117753,0.0376731,0.0335948,0.0270402,0.0333385
MSEValidation,3.14e-05,3.18e-05,3.63e-05,2.05e-05,2.82e-05
RMSEValidation,0.0056041,0.0056417,0.0060268,0.0045246,0.0053128
EnergyScoreValidation,0.0603635,0.0591642,0.0641468,0.047246,0.0571059
CRPSValidation,0.0024059,0.0023928,0.0026443,0.0019248,0.0023125
Gaussian NLLValidation,-3.8472211,-3.9744005,-3.9058506,-4.3083639,-4.0392699
CoverageValidation,0.7841146,0.842895,0.8417622,0.9237891,0.8382639
QICEValidation,0.0409904,0.0234245,0.0244002,0.0142821,0.0253307
MSETest,3.32e-05,3.23e-05,4e-05,2.17e-05,3.34e-05
RMSETest,0.005758,0.0056834,0.0063215,0.0046569,0.005777
EnergyScoreTest,0.0616247,0.059282,0.0662609,0.0492199,0.0600433
CRPSTest,0.0024604,0.0023742,0.0026826,0.0019993,0.0023899
Gaussian NLLTest,-3.8158648,-3.9900658,-3.8748174,-4.2590265,-3.9980912
CoverageTest,0.7773633,0.8414961,0.8388399,0.9162071,0.8360234
QICETest,0.0419617,0.0235945,0.0249664,0.0131563,0.0254727
