,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,mvnormal,mvnormal,mvnormal,mvnormal,mvnormal
loss,kernel,kernel,kernel,kernel,kernel
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,10,10,10,10,10
gamma,10,10,10,10,10
rank,1,1,1,1,1
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,16365.888,15868.734,17471.537,18991.249,18148.735
NumberParameters,6455684.0,6455684.0,6455684.0,6455684.0,6455684.0
t_training_avg,7.1530469,7.0249511,6.9429939,7.8371721,7.1924397
t_training_med,7.031626,6.9576547,6.9365549,8.0901551,6.9863397
t_training_std,0.3614888,0.214082,0.1282828,0.5156247,0.4381951
MSEValidation,2.27e-05,2.24e-05,2.12e-05,2.3e-05,2.08e-05
RMSEValidation,0.0047668,0.0047279,0.0046058,0.0047947,0.0045573
EnergyScoreValidation,0.077101,0.0761813,0.0750614,0.076545,0.0744389
CRPSValidation,0.0034099,0.0033107,0.0032772,0.0033968,0.0032664
Gaussian NLLValidation,-3.5860879,-3.6138937,-3.6047699,-3.555815,-3.5925071
CoverageValidation,0.9893664,0.9923264,0.9921051,0.9921355,0.9925044
QICEValidation,0.0792205,0.0782569,0.0792717,0.0794167,0.0784236
MSETest,2.42e-05,2.49e-05,2.36e-05,2.42e-05,2.22e-05
RMSETest,0.004917,0.0049931,0.0048612,0.0049162,0.0047133
EnergyScoreTest,0.0775917,0.0768521,0.0763961,0.077366,0.0756624
CRPSTest,0.0034272,0.0033225,0.0033214,0.0034233,0.0033007
Gaussian NLLTest,-3.5868008,-3.612272,-3.5964396,-3.5486712,-3.5910161
CoverageTest,0.9895352,0.9918985,0.9911368,0.990918,0.9920743
QICETest,0.079018,0.0787039,0.0782117,0.0784672,0.078125
