,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,25,25,25,25,25
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,5000,5000,5000,5000,5000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,sample,sample,sample,sample,sample
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,3,3,3,3,3
metrics_plots,False,False,False,False,False
t_training,16442.868,14502.338,19463.567,8914.765,15617.331
NumberParameters,6455297.0,6455297.0,6455297.0,6455297.0,6455297.0
t_training_avg,10.4539704,10.4234353,10.428896,10.4102642,10.4256046
t_training_med,10.4504982,10.4342833,10.4422617,10.4270948,10.4361516
t_training_std,0.2102223,0.0669835,0.0609499,0.0755275,0.0656718
MSEValidation,4.05e-05,4.07e-05,2.28e-05,3.44e-05,2.44e-05
RMSEValidation,0.0063663,0.0063765,0.0047768,0.0058653,0.0049431
EnergyScoreValidation,0.0966865,0.0786531,0.063251,0.0648421,0.0567905
CRPSValidation,0.0047203,0.0037469,0.0030124,0.0029187,0.0026059
Gaussian NLLValidation,-3.104995,-3.4078696,-3.5914607,-3.7708051,-3.8240578
CoverageValidation,0.9949827,0.9862934,0.9909071,0.9667491,0.9807943
QICEValidation,0.0972465,0.0802674,0.0902405,0.0471528,0.0729644
MSETest,4.11e-05,4.08e-05,2.38e-05,3.87e-05,2.87e-05
RMSETest,0.0064084,0.0063872,0.0048763,0.0062178,0.0053608
EnergyScoreTest,0.0971803,0.0785391,0.063689,0.067731,0.0596358
CRPSTest,0.0047406,0.0037353,0.0030289,0.0030121,0.0026813
Gaussian NLLTest,-3.101516,-3.4112053,-3.5899382,-3.7420547,-3.8050849
CoverageTest,0.9950665,0.9866563,0.9903321,0.9629259,0.9788712
QICETest,0.0970125,0.0806602,0.0895836,0.0463734,0.0712094
