,0,1,2,3,4
dataset_name,WeatherBench,WeatherBench,WeatherBench,WeatherBench,WeatherBench
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,zero,zero,zero,zero,zero
temporal_downscaling_factor,1,1,1,1,1
validation_ratio,0.0,0.0,0.0,0.0,0.0
data_fraction,,1.0,1.0,1.0,1.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,50,50,50,50,50
seed,1,2,3,4,5
distributed_training,True,True,True,True,True
backbone,default,default,default,default,default
batch_size,32,32,32,32,32
batch_accumulation,2,2,2,2,2
eval_batch_size,50,16,16,16,16
n_epochs,2000,2000,2000,2000,2000
early_stopping,300,300,300,300,300
init,default,default,default,default,default
learning_rate,1e-05,1e-05,1e-05,1e-05,1e-05
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,5,5,5,5,5
data_loader_pin_memory,,False,False,False,False
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"(0.001, 0.35)","(0.001, 0.35)","(0.001, 0.35)","(0.001, 0.35)","(0.001, 0.35)"
distributional_method,deterministic,deterministic,deterministic,deterministic,deterministic
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,False,False,False,False,False
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
variance_method,,fixed_ddim,fixed_ddim,fixed_ddim,fixed_ddim
gamma_t_mc_batches,,,,,
ocm_backbone_path,,,,,
gamma_t_path,,,,,
n_ndp_heads,,4,4,4,4
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
loss_lambda,,0.001,0.001,0.001,0.001
noise_dim,,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,180565.115,,,109403.611,76952.222
NumberParameters,15186689.0,15186689.0,15186689.0,15186689.0,15186689.0
t_training_avg,84.4320172,81.4856783,82.1595748,82.1570182,87.6955996
t_training_med,84.3546715,81.2391853,81.94244,81.9590034,87.4125404
t_training_std,2.0963579,0.9380585,0.9143369,0.881204,1.4315004
