experiment,dataset,method,MSETest_mean,MSETest_std,RMSETest_mean,RMSETest_std,EnergyScoreTest_mean,EnergyScoreTest_std,CRPSTest_mean,CRPSTest_std,Gaussian NLLTest_mean,Gaussian NLLTest_std,C95Test_mean,C95Test_std,C90Test_mean,C90Test_std,C75Test_mean,C75Test_std,C50Test_mean,C50Test_std,MSEValidation_mean,MSEValidation_std,RMSEValidation_mean,RMSEValidation_std,EnergyScoreValidation_mean,EnergyScoreValidation_std,CRPSValidation_mean,CRPSValidation_std,Gaussian NLLValidation_mean,Gaussian NLLValidation_std,C95Validation_mean,C95Validation_std,C90Validation_mean,C90Validation_std,C75Validation_mean,C75Validation_std,C50Validation_mean,C50Validation_std,NumberParameters_mean,NumberParameters_std,n_runs
Burgers,1D_Burgers,deterministic,1.04e-06,8.648699324175862e-07,0.0009518200000000001,0.0003908854141561182,0.0042559,0.0007089793685291553,0.00015726,2.6185263030949293e-05,-7.09244784,0.1737114037004567,0.1618,0.021707141681944202,0.0796,0.013667479650615905,0.0086,0.007197221686178632,0.0,0.0,9.6e-07,6.580273550544841e-07,0.00092606,0.0003757777840692555,0.00405524,0.0006613587626999433,0.00015034,2.0347800863975444e-05,-7.1097701,0.16763942385035785,0.15733332,0.02841058147076543,0.07733332,0.022396531863371167,0.00799998,0.005900397977848612,0.0,0.0,,,5
Burgers,1D_Burgers,iDDPM,7.6e-07,5.029910535983716e-07,0.0008305999999999999,0.00025925834605659273,0.00468074,0.0010641993506857635,0.00014780000000000001,1.5598397353574495e-05,-7.20703048,0.06678246964265395,0.1186,0.029921564130238908,0.05,0.021714050750608466,0.0068000000000000005,0.00432434966208793,0.0,0.0,6.4e-07,3.974921382870358e-07,0.00078578,0.00022758034185755148,0.004668739999999999,0.0012287564742454057,0.00014302,1.4806147371953322e-05,-7.226630699999999,0.07544132194967827,0.12844446,0.025514447347689113,0.05533332,0.01766279618681595,0.00466666,0.0016480714511209762,0.0,0.0,,,5
Burgers,1D_Burgers,mixednormal,7.2e-07,4.919349550499538e-07,0.0008061199999999999,0.00026783385148259356,0.0038200200000000004,0.00038800851408184357,0.00012658,1.7230554256900737e-05,-6.991846560000001,0.1859315668825577,0.96400006,0.003741610616165185,0.93220002,0.012577789551507037,0.7636000000000001,0.0956676538857309,0.23399999999999999,0.1594506193151974,5.4e-07,2.966479394838265e-07,0.0007149799999999999,0.00020465214877933728,0.00363042,0.0005685892032038599,0.00012312,2.365390031263343e-05,-6.998850419999999,0.18968587170434453,0.96266666,0.01104421478639381,0.9293333199999999,0.02022406758980497,0.77111116,0.09574594766269745,0.24466665999999998,0.16619640342040498,,,5
Burgers,1D_Burgers,mvnormal,5.199999999999999e-07,2.8635642126552706e-07,0.000698,0.00020270875659428238,0.0063542799999999995,0.00031516684787585093,0.00024274000000000002,1.9116563498704483e-05,-6.1040787000000005,0.03662804316203642,0.81580002,0.03885488978239419,0.7452000400000001,0.04974637102345254,0.5721999999999999,0.07430477777370711,0.27040000000000003,0.08747742565942371,2.4e-07,8.944271909999158e-08,0.0004950600000000001,8.437350294968201e-05,0.0061184,0.00024164507029939594,0.00023776,1.2216505228583168e-05,-6.099733179999999,0.03248240222046419,0.82466668,0.034777955253392924,0.75444446,0.0501417897591221,0.57822226,0.08806421370683441,0.2751111,0.10219686053137837,,,5
Burgers,1D_Burgers,normal,7e-07,4.84767985741633e-07,0.0008078,0.00026862746508873593,0.00367154,0.00038896279770692723,0.00012028,1.5150148514123544e-05,-7.121225180000001,0.09154503598301762,0.96420004,0.0080746876102423,0.93780004,0.010158736142010964,0.79900006,0.04123716466978547,0.24980000000000002,0.10799629623278756,4.4e-07,1.9493588689617928e-07,0.0006715,0.000150064136288455,0.0034427600000000004,0.0004128977270462989,0.00011570000000000001,1.1573893035621161e-05,-7.128443419999999,0.08368285637812578,0.96777782,0.005386339603292793,0.942,0.006638802881920822,0.8046666800000001,0.04368376275456362,0.24911111999999996,0.11508021877943228,,,5
Burgers,1D_Burgers,sample,8.6e-07,1.04546640309481e-06,0.0008074600000000001,0.0004854672470929424,0.0035865800000000002,0.0010530137567952283,0.00013698,2.9800620798902833e-05,-7.0049242199999995,0.13704506933148725,0.61640004,0.07510861275514946,0.5172000000000001,0.08818559973147544,0.2988,0.10082509608227505,0.055600000000000004,0.04535746906519366,5.199999999999999e-07,3.6331804249169907e-07,0.00069646,0.0002389127727853829,0.00334554,0.0007996560185479756,0.00013202,2.5431614183924697e-05,-7.0133899799999995,0.14030296958096417,0.6308889,0.06289023889404464,0.52711114,0.07516483835340164,0.30022222,0.08490879508459061,0.057333339999999997,0.05432868073695514,,,5
KS,1D_KS,deterministic,3.212e-05,6.586121772333094e-06,0.0056390599999999996,0.0006051616833541264,0.059279280000000004,0.006243587544593254,0.00238092,0.00024658866965049305,-3.98817422,0.17019115482826058,0.0012000000000000001,0.002683281572999748,0.0002,0.00044721359549995795,0.0,0.0,0.0,0.0,2.964e-05,5.867963871736088e-06,0.00542196,0.0005621904730605101,0.05760494000000001,0.006331939432985759,0.00233608,0.00026115616400919974,-4.0150709,0.17911253907490682,0.0008888800000000001,0.0019875961038400133,0.00022222000000000002,0.0004968990259600033,0.0,0.0,0.0,0.0,,,5
KS,1D_KS,iDDPM,2.5e-05,6.170899448216606e-06,0.00497046,0.0006097826071642253,0.0514012,0.005376786759301508,0.00203908,0.00019781937973818446,-4.22341662,0.09840851778396527,0.0008,0.0008366600265340755,0.0,0.0,0.0,0.0,0.0,0.0,2.286e-05,4.094874845462314e-06,0.00476482,0.00042360110009300025,0.05007198,0.004398557194921988,0.0019982800000000003,0.00017872070948829623,-4.25180292,0.10335828245485218,0.00066666,0.0009937980519200067,0.00022222000000000002,0.0004968990259600033,0.0,0.0,0.0,0.0,,,5
KS,1D_KS,mixednormal,1.2560000000000002e-05,2.665145399410697e-06,0.0035280199999999998,0.0003592578071524684,0.04914956,0.005448780653779338,0.0019612600000000003,0.00021193713218782605,-4.08070262,0.09318350770687367,0.97600006,0.004847664386382363,0.93440008,0.011631885917683353,0.6306000199999999,0.04352927084160729,0.0228,0.010663020210053059,1.1419999999999999e-05,2.255437873229941e-06,0.0033655200000000003,0.00032282185799601613,0.04819782,0.00461095349434366,0.0019287800000000002,0.00018781404899527614,-4.09630898,0.0854588040245239,0.97355558,0.007175070783065501,0.94000006,0.016573800535725023,0.63933336,0.04969413987859132,0.02044446,0.009316107847862218,,,5
KS,1D_KS,mvnormal,2.382e-05,1.0158740079360226e-06,0.00488016,0.00010441893027607623,0.07677366,0.0007751869600296467,0.00335902,6.109547446415325e-05,-3.5870399399999995,0.023521467351294394,0.36879999999999996,0.06087446098323993,0.2,0.040527768258318886,0.0366,0.010114346246792224,0.0006000000000000001,0.0008944271909999159,2.202e-05,9.65401470891773e-07,0.00469054,0.00010370064127091998,0.07586632,0.001092551743397077,0.00333224,6.718595835440605e-05,-3.59061662,0.0222338980925972,0.38377778,0.047431564645202234,0.20333336000000002,0.03658239339044126,0.03733334,0.008483822004438802,0.00066666,0.0009937980519200067,,,5
