,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,crps,crps,crps,crps,crps
report_every,10,10,10,10,10
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,50,50,50,50,50
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
data_loader_pin_memory,False,False,False,False,False
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,mvnormal,mvnormal,mvnormal,mvnormal,mvnormal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_ndp_heads,4,4,4,4,4
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,20,20,20,20,20
loss_lambda,0.001,0.001,0.001,0.001,0.001
noise_dim,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,2979.945,2891.694,2198.321,3290.503,3562.704
NumberParameters,6455328.0,6455328.0,6455328.0,6455328.0,6455328.0
t_training_avg,6.551105,6.9464959,7.0603004,7.1734138,7.0293836
t_training_med,6.5124979,6.8912818,7.0955149,7.166033,6.9118688
t_training_std,0.1097082,0.3104014,0.1112386,0.1603265,0.2295582
MSEValidation,5e-07,8e-07,3e-06,4e-07,1.5e-06
RMSEValidation,0.0007355,0.0009148,0.0017223,0.0006698,0.0012332
EnergyScoreValidation,0.003729,0.0039103,0.0053482,0.0034434,0.003681
CRPSValidation,0.0001335,0.0001192,0.0001619,0.0001107,0.0001073
Gaussian NLLValidation,-3.1983175,0.0639892,10.1206236,-2.7568512,9.260273
C95Validation,0.4122222,0.4188889,0.4166667,0.4044445,0.3
C90Validation,0.3433333,0.35,0.3655556,0.33,0.2044445
C75Validation,0.2011111,0.1922222,0.2155556,0.1855556,0.0766667
C50Validation,0.0277778,0.03,0.03,0.0144444,0.0022222
MSETest,5e-07,1.2e-06,1.8e-06,4e-07,1.9e-06
RMSETest,0.0006796,0.0010959,0.0013487,0.0006464,0.0013638
EnergyScoreTest,0.0038576,0.0043958,0.0057271,0.0035549,0.004109
CRPSTest,0.000123,0.0001366,0.0001744,0.0001134,0.0001211
Gaussian NLLTest,-3.7955253,2.6866429,4.637773,-3.4915802,12.6181259
C95Test,0.417,0.4,0.374,0.387,0.308
C90Test,0.347,0.33,0.314,0.324,0.23
C75Test,0.185,0.179,0.195,0.191,0.085
C50Test,0.022,0.028,0.017,0.025,0.006
