,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,deterministic,deterministic,deterministic,deterministic,deterministic
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,8059.777,3893.975,7753.433,5488.993,8080.381
NumberParameters,6455105.0,6455105.0,6455105.0,6455105.0,6455105.0
t_training_avg,7.2548688,7.2650851,7.2203413,6.7491235,7.5307701
t_training_med,7.1073767,7.0083904,6.9833181,6.5655178,7.734938
t_training_std,0.570511,0.5583797,0.6165317,0.4263715,0.4406447
MSEValidation,9e-07,8.7e-06,2.1e-06,6.6e-06,1.4e-06
RMSEValidation,0.0009519,0.0029475,0.0014639,0.0025616,0.0011999
EnergyScoreValidation,0.0072701,0.0191764,0.0085763,0.0192701,0.0061004
CRPSValidation,0.0003386,0.000735,0.0003794,0.0007497,0.0002371
Gaussian NLLValidation,-4.2140336,-5.446919,-4.7417455,-3.6187956,-6.0453796
CoverageValidation,0.5402821,0.8844966,0.4842752,0.561428,0.7033464
QICEValidation,0.0836684,0.0192691,0.1092587,0.0794965,0.0676319
MSETest,1.2e-06,1.1e-05,4.7e-06,6.8e-06,1.3e-06
RMSETest,0.0010984,0.0033225,0.0021591,0.0026061,0.0011327
EnergyScoreTest,0.0074091,0.0207261,0.0093607,0.0194117,0.0064321
CRPSTest,0.0003324,0.0008002,0.0003882,0.0007666,0.0002451
Gaussian NLLTest,-4.2890058,-5.4144721,-4.7013741,-3.7082324,-6.0470858
CoverageTest,0.5417891,0.8876914,0.4961719,0.5652344,0.7086992
QICETest,0.0829078,0.0188969,0.1062922,0.0791328,0.0656766
