,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
data_loader_pin_memory,False,False,False,False,False
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,iDDPM,iDDPM,iDDPM,iDDPM,iDDPM
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_ndp_heads,4,4,4,4,4
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
loss_lambda,1e-07,1e-07,1e-07,1e-07,1e-07
noise_dim,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,8102.885,8355.081,7506.644,8127.375,8024.483
NumberParameters,6455491.0,6455491.0,6455491.0,6455491.0,6455491.0
t_training_avg,7.4734712,7.7810423,6.9098034,7.5409874,7.4071463
t_training_med,7.7293282,7.7758801,7.0887046,7.7557006,7.1479712
t_training_std,0.406593,0.0363189,0.41099,0.3495632,0.3817225
MSEValidation,1.7e-06,9e-07,1.5e-06,1.2e-06,2e-06
RMSEValidation,0.0013174,0.0009559,0.0012438,0.0011129,0.0014159
EnergyScoreValidation,0.0072322,0.0063447,0.0087886,0.0085049,0.0077758
CRPSValidation,0.000271,0.0002156,0.0003781,0.0003358,0.00029
Gaussian NLLValidation,-6.4928498,-6.7390213,-5.0419464,-5.3598199,-6.276875
C95Validation,0.0633333,0.01,0.0055556,0.0011111,0.0266667
C90Validation,0.0388889,0.0011111,0.0,0.0,0.0044444
C75Validation,0.0033333,0.0,0.0,0.0,0.0
C50Validation,0.0,0.0,0.0,0.0,0.0
MSETest,1.1e-06,1.2e-06,5.1e-06,1.8e-06,2.6e-06
RMSETest,0.0010679,0.001095,0.0022651,0.001358,0.0016013
EnergyScoreTest,0.0068368,0.0068826,0.0097503,0.0093217,0.0085454
CRPSTest,0.0002432,0.0002306,0.0003814,0.0003581,0.0003123
Gaussian NLLTest,-6.536757,-6.7488279,-4.9738164,-5.2989297,-6.1771164
C95Test,0.061,0.016,0.002,0.0,0.026
C90Test,0.029,0.003,0.0,0.0,0.005
C75Test,0.002,0.0,0.0,0.0,0.0
C50Test,0.0,0.0,0.0,0.0,0.0
