,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,mixednormal,mixednormal,mixednormal,mixednormal,mixednormal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,2,2,2,2,2
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,8451.759,8669.561,8753.151,7762.282,8147.183
NumberParameters,6456263.0,6456263.0,6456263.0,6456263.0,6456263.0
t_training_avg,7.8530188,8.0124851,8.1987841,7.0680769,7.5341204
t_training_med,7.6902394,7.6267282,7.7303195,6.8610538,7.7464365
t_training_std,0.6878574,0.5991441,0.7549686,0.4108911,0.6314466
MSEValidation,6e-07,1.9e-06,1.7e-06,3e-07,1.2e-06
RMSEValidation,0.0007923,0.0013617,0.0013148,0.0005912,0.0010899
EnergyScoreValidation,0.0055827,0.0065353,0.0066169,0.0044282,0.006023
CRPSValidation,0.0002087,0.0002192,0.0002186,0.0001533,0.0002152
Gaussian NLLValidation,-6.5978417,-6.5828829,-6.6676102,-6.8888507,-6.6420779
CoverageValidation,0.9983854,0.9981424,0.995178,0.9990625,0.9980903
QICEValidation,0.0721519,0.0721094,0.0859557,0.091263,0.066487
MSETest,8e-07,2.3e-06,3.3e-06,4e-07,1.6e-06
RMSETest,0.0008737,0.0015295,0.0018278,0.0006428,0.0012625
EnergyScoreTest,0.005627,0.0068441,0.0073157,0.0045168,0.0064097
CRPSTest,0.000203,0.0002397,0.0002242,0.0001576,0.0002196
Gaussian NLLTest,-6.6094036,-6.5482731,-6.6627946,-6.8872747,-6.6363902
CoverageTest,0.9988242,0.9970469,0.9953828,0.999168,0.9977305
QICETest,0.0724883,0.0719437,0.0861922,0.0899867,0.066043
