,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,mvnormal,mvnormal,mvnormal,mvnormal,mvnormal
loss,kernel,kernel,kernel,kernel,kernel
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,5,5,5,5,5
rank,1,1,1,1,1
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,8483.342,8623.045,8685.622,8602.098,8674.066
NumberParameters,6455684.0,6455684.0,6455684.0,6455684.0,6455684.0
t_training_avg,7.8089485,7.9961486,8.0513806,8.0462145,8.1387243
t_training_med,7.4778227,7.7237127,7.7195088,7.7379667,7.6813982
t_training_std,0.7893427,0.6162091,0.6639725,0.4831668,0.693329
MSEValidation,1.4e-06,1.5e-06,3e-06,9e-07,1.5e-06
RMSEValidation,0.0011984,0.0012067,0.0017357,0.0009716,0.0012083
EnergyScoreValidation,0.0098824,0.0087447,0.0094617,0.0086372,0.0091508
CRPSValidation,0.0004607,0.0003476,0.0003674,0.0003239,0.0003705
Gaussian NLLValidation,-5.6234479,-5.9967389,-5.9783177,-5.9998064,-5.7934084
CoverageValidation,0.9690669,0.9821268,0.9804167,0.9911806,0.9857205
QICEValidation,0.0632283,0.0647917,0.0742526,0.0826207,0.0787899
MSETest,1.2e-06,1.1e-06,3.1e-06,1.1e-06,1.9e-06
RMSETest,0.0011081,0.0010638,0.0017609,0.001029,0.001391
EnergyScoreTest,0.0096733,0.0088795,0.009815,0.0088721,0.0094313
CRPSTest,0.0004455,0.0003635,0.0003662,0.0003304,0.0003748
Gaussian NLLTest,-5.6314301,-5.9619894,-6.0089135,-6.0015221,-5.8055677
CoverageTest,0.969586,0.9806094,0.9779844,0.9922383,0.9861993
QICETest,0.0638187,0.0656789,0.0743227,0.0811438,0.0769711
