,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,normal,normal,normal,normal,normal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,7414.176,7610.129,8497.774,7670.685,7429.241
NumberParameters,6455491.0,6455491.0,6455491.0,6455491.0,6455491.0
t_training_avg,6.7683282,7.0742641,7.93996,7.0119139,6.8574308
t_training_med,6.7725291,7.0903162,7.9745595,6.670025,6.7168396
t_training_std,0.1226403,0.5572757,0.1807329,0.5536567,0.3268965
MSEValidation,1.7e-06,8e-07,1.4e-06,8e-07,1.5e-06
RMSEValidation,0.0012847,0.0009043,0.0011714,0.0008717,0.0012174
EnergyScoreValidation,0.0064017,0.0048683,0.0056423,0.0056914,0.0060947
CRPSValidation,0.0002158,0.0001641,0.000188,0.0001982,0.0002039
Gaussian NLLValidation,-6.8341599,-6.9013281,-6.8399591,-6.8703647,-6.9669218
CoverageValidation,0.9953733,0.9981641,0.9955816,0.9923177,0.9920747
QICEValidation,0.0757118,0.0891554,0.077908,0.0483707,0.062875
MSETest,1e-06,9e-07,3.6e-06,9e-07,1.4e-06
RMSETest,0.001008,0.00094,0.0019074,0.0009585,0.0012007
EnergyScoreTest,0.0060389,0.0051377,0.006327,0.0059473,0.0061991
CRPSTest,0.0001896,0.0001817,0.0001921,0.0002053,0.0002101
Gaussian NLLTest,-6.8569813,-6.8680706,-6.8401809,-6.8705273,-6.9466934
CoverageTest,0.9962266,0.9973594,0.9962813,0.9927422,0.9917071
QICETest,0.0779109,0.0882953,0.078082,0.0494195,0.0630898
