,0,1,2,3,4
dataset_name,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers,1D_Burgers
downscaling_factor,4,4,4,4,4
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,sample,sample,sample,sample,sample
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,3,3,3,3,3
metrics_plots,False,False,False,False,False
t_training,11201.807,5566.331,5520.015,11067.172,11192.994
NumberParameters,6455297.0,6455297.0,6455297.0,6455297.0,6455297.0
t_training_avg,10.534243,10.5191181,10.4671741,10.4869679,10.6288749
t_training_med,10.4696859,10.466553,10.4656078,10.467528,10.4772036
t_training_std,0.0944443,0.0878699,0.0094673,0.0866523,0.2103684
MSEValidation,4e-07,6.4e-06,1.81e-05,6e-07,9e-07
RMSEValidation,0.0006132,0.002521,0.0042602,0.0007779,0.0009236
EnergyScoreValidation,0.0040494,0.0140551,0.0166893,0.0050727,0.00517
CRPSValidation,0.0001589,0.0004754,0.0006135,0.0001996,0.0001995
Gaussian NLLValidation,-6.9168,-6.0562196,-5.7017636,-6.8029857,-6.6182394
CoverageValidation,0.9674175,0.9433854,0.9375608,0.9161806,0.962487
QICEValidation,0.0666736,0.0350339,0.0094792,0.016855,0.0616398
MSETest,5e-07,1.49e-05,1.69e-05,9e-07,1.1e-06
RMSETest,0.000718,0.0038662,0.004116,0.0009453,0.0010454
EnergyScoreTest,0.0041606,0.0162663,0.0172716,0.0053549,0.0056765
CRPSTest,0.0001549,0.0005535,0.0006374,0.0002094,0.0002116
Gaussian NLLTest,-6.9288311,-5.9983459,-5.7071795,-6.7930374,-6.6025114
CoverageTest,0.965668,0.9394532,0.9402735,0.9145079,0.9635586
QICETest,0.0659836,0.0326133,0.0071617,0.0151383,0.0608258
