,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,crps,crps,crps,crps,crps
report_every,10,10,10,10,10
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,50,50,50,50,50
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
data_loader_pin_memory,False,False,False,False,False
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,mvnormal,mvnormal,mvnormal,mvnormal,mvnormal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_ndp_heads,4,4,4,4,4
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,20,20,20,20,20
loss_lambda,0.001,0.001,0.001,0.001,0.001
noise_dim,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,3252.819,3142.265,3761.656,2974.64,4342.739
NumberParameters,6455328.0,6455328.0,6455328.0,6455328.0,6455328.0
t_training_avg,7.1395264,6.9750284,7.0553134,7.10844,7.016712
t_training_med,7.1231369,6.859717,7.0537087,7.1233952,7.0867215
t_training_std,0.187019,0.2548454,0.2949027,0.2929308,0.2761791
MSEValidation,3.44e-05,3.67e-05,2.32e-05,3.82e-05,2.44e-05
RMSEValidation,0.0058653,0.0060595,0.0048193,0.0061816,0.0049351
EnergyScoreValidation,0.0723495,0.0740203,0.0605968,0.077034,0.0610877
CRPSValidation,0.0033436,0.003425,0.0028197,0.0035802,0.0028341
Gaussian NLLValidation,-3.4794407,-3.461551,-3.6502874,-3.4209332,-3.6551888
C95Validation,0.3488889,0.35,0.3744445,0.3288889,0.3588889
C90Validation,0.2477778,0.2422222,0.2644444,0.2088889,0.2577778
C75Validation,0.0844444,0.0622222,0.08,0.0488889,0.0766667
C50Validation,0.0022222,0.0,0.0,0.0011111,0.0
MSETest,3.59e-05,3.59e-05,2.58e-05,3.83e-05,2.89e-05
RMSETest,0.0059936,0.005992,0.0050778,0.0061921,0.0053745
EnergyScoreTest,0.0729437,0.0739209,0.0621062,0.077517,0.0630354
CRPSTest,0.003356,0.0034223,0.0028584,0.0036231,0.0028767
Gaussian NLLTest,-3.4717553,-3.464853,-3.6335444,-3.4201944,-3.6249356
C95Test,0.348,0.338,0.345,0.326,0.334
C90Test,0.248,0.229,0.228,0.214,0.239
C75Test,0.074,0.044,0.079,0.056,0.058
C50Test,0.001,0.0,0.002,0.0,0.001
