,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,deterministic,deterministic,deterministic,deterministic,deterministic
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,7773.285,3766.245,5379.453,5273.191,5276.248
NumberParameters,6455105.0,6455105.0,6455105.0,6455105.0,6455105.0
t_training_avg,7.1482977,6.9429491,6.5503882,6.459361,6.4682153
t_training_med,7.1588175,6.9277583,6.4556667,6.4519655,6.4634607
t_training_std,0.1349551,0.0775891,0.1981417,0.0494486,0.0504313
MSEValidation,7.52e-05,0.0020764,0.0004666,0.0006903,0.0005004
RMSEValidation,0.0086738,0.0455681,0.0216009,0.0262727,0.0223702
EnergyScoreValidation,0.1022026,0.5053325,0.2477332,0.3004531,0.2610232
CRPSValidation,0.0040533,0.0207656,0.0101869,0.0136782,0.0111095
Gaussian NLLValidation,-2.7061369,-1.7745072,-2.2525227,-1.6994448,-2.0611022
CoverageValidation,0.6622874,0.8108116,0.7265104,0.6118229,0.68227
QICEValidation,0.0627083,0.0338229,0.0498672,0.0871727,0.0696068
MSETest,7.97e-05,0.0019526,0.0004469,0.0006654,0.0005484
RMSETest,0.0089301,0.044188,0.0211403,0.0257956,0.0234177
EnergyScoreTest,0.1047263,0.4924586,0.2448322,0.2975059,0.2700377
CRPSTest,0.0040959,0.0203836,0.0101236,0.0135888,0.011307
Gaussian NLLTest,-2.6967556,-1.7968417,-2.246721,-1.7322385,-2.0513504
CoverageTest,0.661875,0.8152618,0.7244297,0.6174219,0.6803164
QICETest,0.0628555,0.033782,0.049525,0.0868063,0.0687594
