,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
data_loader_pin_memory,False,False,False,False,False
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,iDDPM,iDDPM,iDDPM,iDDPM,iDDPM
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_ndp_heads,4,4,4,4,4
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
loss_lambda,1e-05,1e-05,1e-05,1e-05,1e-05
noise_dim,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,7207.76,7114.085,5335.77,7185.747,7152.481
NumberParameters,6455491.0,6455491.0,6455491.0,6455491.0,6455491.0
t_training_avg,6.557123,6.5265067,6.5344929,6.6013579,6.579516
t_training_med,6.5119218,6.5070132,6.5093235,6.5477284,6.5198636
t_training_std,0.0958711,0.0695944,0.0707925,0.1052581,0.1824821
MSEValidation,0.000111,0.0002211,0.0003716,0.0002994,0.0001242
RMSEValidation,0.0105339,0.0148688,0.0192778,0.0173035,0.0111467
EnergyScoreValidation,0.1252517,0.1950637,0.2205932,0.1958498,0.1355871
CRPSValidation,0.0051437,0.0101035,0.00933,0.0077311,0.0057434
Gaussian NLLValidation,-1.933268,3.3278477,-2.5609188,-2.3260281,-1.7230175
C95Validation,0.0,0.0,0.0,0.0,0.0
C90Validation,0.0,0.0,0.0,0.0,0.0
C75Validation,0.0,0.0,0.0,0.0,0.0
C50Validation,0.0,0.0,0.0,0.0,0.0
MSETest,0.0001156,0.0002205,0.0003752,0.0002855,0.000131
RMSETest,0.0107519,0.0148509,0.0193692,0.0168968,0.011444
EnergyScoreTest,0.1261461,0.1934929,0.2208875,0.1912323,0.1388504
CRPSTest,0.0052014,0.0100826,0.0093358,0.0076411,0.0057971
Gaussian NLLTest,-1.894393,3.3200097,-2.5567544,-2.3597686,-1.75043
C95Test,0.0,0.0,0.0,0.0,0.0
C90Test,0.0,0.0,0.0,0.0,0.0
C75Test,0.0,0.0,0.0,0.0,0.0
C50Test,0.0,0.0,0.0,0.0,0.0
