,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,mixednormal,mixednormal,mixednormal,mixednormal,mixednormal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,50,50,50,50,50
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,11113.611,10920.573,10970.339,8221.781,11013.681
NumberParameters,6484055.0,6484055.0,6484055.0,6484055.0,6484055.0
t_training_avg,10.4074212,10.3237425,10.3566599,10.3611044,10.4086922
t_training_med,10.3763132,10.3088599,10.3313684,10.3678095,10.3845122
t_training_std,0.1058418,0.0602347,0.0650337,0.0416371,0.0753665
MSEValidation,8.03e-05,6.17e-05,6.96e-05,0.0002337,8.55e-05
RMSEValidation,0.0089622,0.0078538,0.008345,0.0152888,0.0092476
EnergyScoreValidation,0.101163,0.090088,0.1054645,0.1755127,0.1013516
CRPSValidation,0.0041854,0.0038538,0.0043035,0.0075899,0.0042885
Gaussian NLLValidation,-3.5030262,-3.6080229,-3.3203189,-2.9147961,-3.5644948
CoverageValidation,0.9927821,0.9954731,0.9992014,0.9915929,0.9753299
QICEValidation,0.0523238,0.0383368,0.0769349,0.0396545,0.026651
MSETest,8.17e-05,6.23e-05,7.14e-05,0.0002498,9.03e-05
RMSETest,0.0090379,0.007891,0.0084491,0.015805,0.0095042
EnergyScoreTest,0.1015802,0.0894059,0.1059882,0.1791952,0.1038562
CRPSTest,0.0042036,0.0038205,0.0043213,0.0077125,0.0043595
Gaussian NLLTest,-3.496917,-3.6144595,-3.3182805,-2.9067097,-3.5529909
CoverageTest,0.992543,0.9956329,0.9991485,0.9911133,0.9751875
QICETest,0.0517555,0.0383945,0.0757875,0.0389703,0.026207
