,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,mvnormal,mvnormal,mvnormal,mvnormal,mvnormal
loss,kernel,kernel,kernel,kernel,kernel
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,10,10,10,10,10
rank,1,1,1,1,1
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,7644.078,7462.549,5579.215,7479.563,7465.599
NumberParameters,6455684.0,6455684.0,6455684.0,6455684.0,6455684.0
t_training_avg,7.007923,6.8714308,6.8560753,6.903792,6.8444859
t_training_med,7.0193559,6.8560511,6.8548458,6.8533052,6.8058982
t_training_std,0.1241689,0.074817,0.0494599,0.1269783,0.079817
MSEValidation,0.0003273,0.0001431,0.0004575,0.0002832,9.78e-05
RMSEValidation,0.0180908,0.0119615,0.0213897,0.0168281,0.0098889
EnergyScoreValidation,0.2052721,0.1408552,0.241132,0.1920681,0.1195403
CRPSValidation,0.009591,0.0063521,0.0107077,0.008739,0.0050088
Gaussian NLLValidation,-2.5362511,-2.9038322,-2.5338318,-2.4925494,-3.3132913
CoverageValidation,0.8936068,0.8849002,0.9683117,0.8336589,0.9681814
QICEValidation,0.0464497,0.0513785,0.0336615,0.0567214,0.0374332
MSETest,0.000329,0.000142,0.0004554,0.0002813,0.000103
RMSETest,0.0181385,0.0119165,0.0213406,0.0167719,0.0101494
EnergyScoreTest,0.2057528,0.1399963,0.241094,0.1920443,0.1218102
CRPSTest,0.0096269,0.0063201,0.0106781,0.0087676,0.0050518
Gaussian NLLTest,-2.5281513,-2.9122996,-2.5363002,-2.4737022,-3.3092079
CoverageTest,0.8923243,0.8855938,0.9686173,0.8307461,0.9681954
QICETest,0.0455656,0.0517648,0.0335898,0.0569883,0.038368
