,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,100,100,100,100,100
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,normal,normal,normal,normal,normal
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,10,10,10,10,10
metrics_plots,False,False,False,False,False
t_training,7324.691,7050.182,7702.225,7758.129,7979.104
NumberParameters,6455491.0,6455491.0,6455491.0,6455491.0,6455491.0
t_training_avg,6.7027183,6.4728091,7.0904171,7.1087167,7.3892301
t_training_med,6.7329992,6.4614028,7.3510203,6.8650694,7.3763621
t_training_std,0.1196297,0.0683378,0.6303136,0.4934249,0.1833165
MSEValidation,3.79e-05,6.98e-05,5.1e-05,6.46e-05,4.25e-05
RMSEValidation,0.0061551,0.0083534,0.0071428,0.0080403,0.00652
EnergyScoreValidation,0.0749093,0.0940483,0.0832699,0.0893045,0.0786535
CRPSValidation,0.0031864,0.0040017,0.0038497,0.00364,0.0033923
Gaussian NLLValidation,-3.688658,-3.6154284,-3.5801075,-3.6612711,-3.6221163
CoverageValidation,0.9983333,0.9865018,0.9943967,0.9961632,0.9986458
QICEValidation,0.0694635,0.0300234,0.0491415,0.0470347,0.0677031
MSETest,3.99e-05,7.12e-05,5.08e-05,6.34e-05,4.51e-05
RMSETest,0.0063145,0.0084379,0.0071289,0.0079631,0.0067181
EnergyScoreTest,0.0758999,0.0946272,0.0831825,0.0890568,0.0804612
CRPSTest,0.0032122,0.0040101,0.0038497,0.0036487,0.0034407
Gaussian NLLTest,-3.6837509,-3.6171622,-3.5782642,-3.6584501,-3.6156914
CoverageTest,0.998168,0.9859297,0.9944649,0.9963868,0.9985352
QICETest,0.0689719,0.029493,0.0487109,0.0473445,0.0661961
