,0,1,2,3,4
dataset_name,1D_KS,1D_KS,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1,1,1
yarin_gal_uci_split_indices,0,0,0,0,0
max_dataset_size,1000,1000,1000,1000,1000
standardize,True,True,True,True,True
select_timesteps,random,random,random,random,random
temporal_downscaling_factor,2,2,2,2,2
validation_ratio,0.0,0.0,0.0,0.0,0.0
model,UNet,UNet,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion,diffusion,diffusion
report_every,250,250,250,250,250
seed,1,2,3,4,5
distributed_training,False,False,False,False,False
backbone,default,default,default,default,default
batch_size,128,128,128,128,128
batch_accumulation,1,1,1,1,1
eval_batch_size,1024,1024,1024,1024,1024
n_epochs,1000,1000,1000,1000,1000
early_stopping,150,150,150,150,150
init,default,default,default,default,default
learning_rate,0.0005,0.0005,0.0005,0.0005,0.0005
warmup_lr,0,0,0,0,0
lr_schedule,step,step,step,step,step
optimizer,adam,adam,adam,adam,adam
gradient_clipping,1,1,1,1,1
alpha,0.05,0.05,0.05,0.05,0.05
n_samples_uq,100,100,100,100,100
weight_decay,0.0,0.0,0.0,0.0,0.0
n_val_samples,10,10,10,10,10
dropout,0.1,0.1,0.1,0.1,0.1
hidden_dim,64,64,64,64,64
n_layers,2,2,2,2,2
n_timesteps,50,50,50,50,50
beta_endpoints,"[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","[0.001, 0.35]","(0.001, 0.35)"
distributional_method,sample,sample,sample,sample,sample
loss,crps,crps,crps,crps,crps
closed_form,False,False,False,False,False
concat_condition_diffusion,True,True,True,True,True
evaluate,True,True,True,True,True
val_only,False,False,False,False,False
x_T_sampling_method,standard,standard,standard,standard,standard
conditional_free_guidance_training,False,False,False,False,False
ddim_churn,1.0,1.0,1.0,1.0,1.0
noise_schedule,linear,linear,linear,linear,linear
regressor,,,,,
tau,1.0,1.0,1.0,1.0,1.0
n_components,10,10,10,10,10
gamma,5.0,5.0,5.0,5.0,5.0
rank,10,10,10,10,10
mvnormal_method,lora,lora,lora,lora,lora
n_train_samples,3,3,3,3,3
metrics_plots,False,False,False,False,False
t_training,11024.843,10975.976,10972.025,11001.935,8250.0
NumberParameters,6455297.0,6455297.0,6455297.0,6455297.0,6455297.0
t_training_avg,10.4085923,10.3970784,10.3906529,10.4254174,10.4228925
t_training_med,10.4028128,10.3937169,10.3889501,10.436903,10.438156
t_training_std,0.0230417,0.0152244,0.0085196,0.0315435,0.0575284
MSEValidation,0.0001007,7.16e-05,4.26e-05,0.000108,0.0002439
RMSEValidation,0.0100328,0.0084589,0.0065276,0.0103935,0.0156164
EnergyScoreValidation,0.1189799,0.0968048,0.073016,0.1233723,0.1738044
CRPSValidation,0.0056925,0.0045519,0.003373,0.0055033,0.0076861
Gaussian NLLValidation,-3.0247531,-3.2567964,-3.6223738,-2.4499648,-2.8871403
CoverageValidation,0.9782509,0.9691971,0.9616667,0.7770703,0.9003603
QICEValidation,0.0647187,0.0546129,0.0420104,0.0346424,0.0416536
MSETest,0.0001041,6.98e-05,4.34e-05,0.0001096,0.0002773
RMSETest,0.010203,0.008355,0.0065866,0.0104714,0.0166515
EnergyScoreTest,0.1203292,0.0955493,0.0726419,0.1241472,0.1825994
CRPSTest,0.0057424,0.0045034,0.0033568,0.0055349,0.0078997
Gaussian NLLTest,-3.0178821,-3.268311,-3.6259351,-2.4404314,-2.8624611
CoverageTest,0.9781407,0.9704453,0.9627774,0.7753555,0.8975508
QICETest,0.0636625,0.0549437,0.0411305,0.0346742,0.0410227
