dataset , method           , n_splits, RMSETest   , EnergyScoreTest, CRPSTest   , Gaussian NLLTest     , CoverageTest    , QICETest
concrete, analytic_dpm     ,       20, 4.82 ± 0.51, 2.63 ± 0.3     , 2.62 ± 0.3 , 11.44 ± 5.99         , 0.55 ± 0.05     , 0.08 ± 0.01
concrete, analytic_dpm_diag,       20, 4.82 ± 0.51, 2.63 ± 0.3     , 2.62 ± 0.3 , 11.44 ± 5.99         , 0.55 ± 0.05     , 0.08 ± 0.01
concrete, ocm              ,       20, 4.83 ± 0.5 , 2.59 ± 0.3     , 2.58 ± 0.3 , 9.19 ± 4.77          , 0.6 ± 0.05      , 0.07 ± 0.01
energy  , analytic_dpm     ,       20, 0.45 ± 0.06, 0.29 ± 0.03    , 0.29 ± 0.03, 59.73 ± 74.56        , 0.28 ± 0.11     , 0.12 ± 0.02
energy  , analytic_dpm_diag,       20, 0.45 ± 0.06, 0.29 ± 0.03    , 0.29 ± 0.03, 59.73 ± 74.56        , 0.28 ± 0.11     , 0.12 ± 0.02
energy  , ocm              ,       20, 0.45 ± 0.06, 0.29 ± 0.03    , 0.29 ± 0.03, 49.24 ± 63.84        , 0.3 ± 0.12      , 0.12 ± 0.02
kin8nm  , analytic_dpm     ,       20, 6.91 ± 0.19, 4.03 ± 0.12    , 4.01 ± 0.12, -73.3 ± 12.87        , 71.23 ± 2.61    , 5.65 ± 0.46
kin8nm  , analytic_dpm_diag,       20, 6.91 ± 0.19, 4.03 ± 0.12    , 4.01 ± 0.12, -73.3 ± 12.87        , 71.23 ± 2.61    , 5.65 ± 0.46
kin8nm  , ocm              ,       20, 6.92 ± 0.19, 3.96 ± 0.11    , 3.94 ± 0.11, -101.15 ± 8.02       , 78.33 ± 2.07    , 4.41 ± 0.5
naval   , analytic_dpm     ,       20, 1.35 ± 0.11, 0.8 ± 0.09     , 0.8 ± 0.09 , 254775.66 ± 258754.33, 2424.98 ± 812.42, 1259.18 ± 139.09
naval   , analytic_dpm_diag,       20, 1.35 ± 0.11, 0.8 ± 0.09     , 0.8 ± 0.09 , 254775.66 ± 258754.33, 2424.98 ± 812.42, 1259.18 ± 139.09
naval   , ocm              ,       20, 1.35 ± 0.11, 0.79 ± 0.09    , 0.79 ± 0.09, 188044.1 ± 200992.83 , 2612.32 ± 855.3 , 1232.19 ± 138.83
power   , analytic_dpm     ,       20, 3.85 ± 0.17, 2.08 ± 0.05    , 2.07 ± 0.05, 3.18 ± 0.2           , 0.76 ± 0.02     , 0.05 ± 0.0
power   , analytic_dpm_diag,       20, 3.85 ± 0.17, 2.08 ± 0.05    , 2.07 ± 0.05, 3.18 ± 0.2           , 0.76 ± 0.02     , 0.05 ± 0.0
power   , ocm              ,       20, 3.87 ± 0.17, 2.06 ± 0.05    , 2.04 ± 0.05, 2.95 ± 0.13          , 0.83 ± 0.02     , 0.03 ± 0.0
protein , analytic_dpm     ,        5, 3.76 ± 0.03, 1.73 ± 0.02    , 1.72 ± 0.02, 3.58 ± 0.78          , 0.83 ± 0.01     , 0.03 ± 0.0
protein , analytic_dpm_diag,        5, 3.76 ± 0.03, 1.73 ± 0.02    , 1.72 ± 0.02, 3.58 ± 0.78          , 0.83 ± 0.01     , 0.03 ± 0.0
protein , ocm              ,        5, 3.77 ± 0.04, 1.73 ± 0.02    , 1.72 ± 0.02, 3.11 ± 0.28          , 0.86 ± 0.01     , 0.02 ± 0.0
wine    , analytic_dpm     ,       20, 0.66 ± 0.07, 0.33 ± 0.05    , 0.33 ± 0.05, 3188.11 ± 3320.47    , 0.53 ± 0.12     , 0.09 ± 0.02
wine    , analytic_dpm_diag,       20, 0.66 ± 0.07, 0.33 ± 0.05    , 0.33 ± 0.05, 3188.11 ± 3320.47    , 0.53 ± 0.12     , 0.09 ± 0.02
wine    , ocm              ,       20, 0.66 ± 0.07, 0.33 ± 0.05    , 0.33 ± 0.05, 2470.62 ± 3421.58    , 0.55 ± 0.11     , 0.09 ± 0.02
yacht   , analytic_dpm     ,       20, 0.94 ± 0.61, 0.41 ± 0.2     , 0.41 ± 0.2 , 54.46 ± 63.04        , 0.32 ± 0.11     , 0.12 ± 0.01
yacht   , analytic_dpm_diag,       20, 0.94 ± 0.61, 0.41 ± 0.2     , 0.41 ± 0.2 , 54.46 ± 63.04        , 0.32 ± 0.11     , 0.12 ± 0.01
yacht   , ocm              ,       20, 0.94 ± 0.61, 0.41 ± 0.2     , 0.41 ± 0.2 , 45.37 ± 53.32        , 0.36 ± 0.12     , 0.11 ± 0.01
